source,target,source example,target example,source language,target language,source segment,url,comment
"d'ora in poi","from now on","Il capo ha detto che d'ora in poi tutti dovranno rispettare le nuove regole.","The boss said that from now on, everyone must respect the new rules.","it","en","","",""
"furbo","smart","Prendere scorciatoie può sembrare furbo, ma spesso porta a pentimenti.","Cutting corners might seem smart, but it often leads to regret.","it","en","","","clever, smarter"
"sparire","disappear","Il sospettato è riuscito a scappare e sparire nel nulla durante l'inseguimento.","The suspect managed to escape and disappear into thin air during the chase.","it","en","","","go away, vanish"
"sparito","gone","Il ronzio è sparito e non c'è più gente che urla.","The buzzing is gone, and there is much less yelling.","it","en","","","disappeared, missing"
"sottofondo","background","Il costante tic tac faceva da sottofondo alla sua riflessione pensierosa.","The constant tick provided a background soundtrack to her thoughtful reflection.","it","en","","","substrate, backing"
"trattamento","treatment","Ha sofferto di occhio secco per anni prima di trovare un trattamento efficace.","She suffered from dry eye for years before finding an effective treatment.","it","en","","","processing, controller"
"inazitutto","first of all","Crea un campo energetico armonico, equilibrato e ordinato che sostiene relazioni armoniose, innazitutto con se stessi e di conseguenza anche con gli altri.","This self creates a balanced, harmonious and orderly energetic field to support harmonious relationships, first of all with oneself and as a consequence also with others.","it","en","","",""
"crollato","collapsed","La squadra di soccorso cercò invano i sopravvissuti nell'edificio crollato.","The rescue team searched in vain for survivors in the collapsed building.","it","en","","",""
"imprevisto","unexpected","Tutti erano ottimisti, però è emerso un imprevisto durante le loro discussioni.","Everyone was optimistic, but an unexpected but surfaced during their discussions.","it","en","","",""
"per mezzo di","by means of","Il progetto di caviale - è creato per mezzo di perline speciali.","The caviar design - is created by means of special beads.","it","en","","",""
"emotivo","emotional","Il trattamento del silenzio può essere una forma di abuso emotivo nelle relazioni.","The silent treatment can be a form of emotional abuse in relationships.","it","en","","","emotive, sentimental"
"fare parte","be part","Anche i tuoi amici e familiari possono fare parte di questa iniziativa.","Your relatives and your friends can also be part of this initiative.","it","en","","","be a part, join"
"insolito","unusual","Ha sentito puzza di bruciato quando ha notato l'insolito silenzio nell'ufficio.","Her spider sense was tingling when she noticed the unusual silence in the office.","it","en","","","uncommon, strange"
"alla base di","behind","Fin dalla sua nascita, l'idea alla base di questa...","Since its inception, the idea behind this reality was...","it","en","","","at the base of, at the basis of"
"di pongo","in spew, crayon","Forse è per questo che un sacco di persone mi guardano sorpresi quando scoprono che ho deciso di appendere il mio abito di Gucci a stare a casa a coprirmi di pongo, cibo e, occasionalmente, vomito.","Perhaps this is why a lot of people look surprised when they find out that I decided to hang up my Gucci suit to stay at home and get covered in spew, crayon, food and, occasionally, puke.","it","en","","","Play-Doh fun"
"invecchiare","age","Tendiamo a invecchiare a ritmi diversi a seconda delle nostre scelte di vita.","We tend to age at different rates depending on our lifestyle choices.","it","en","","","grow old, get old"
"levato","raised","Ma neppure l'uomo e levato può raggiungere il vertice della sapienza.","Even the man and raised can reach the summit of wisdom.","it","en","","","risen, lifted up"
"videoludico","gaming","Esplorare diversi motori di gioco può ispirare l'innovazione nel campo videoludico.","Exploring different game engines can inspire innovation in the gaming field.","it","en","","","videogame, video game"
"ludico","playful","Lei sa che senza un principio ludico l'arte non esiste.","You know that there is no art without a playful principle.","it","en","","","fun, recreational"
"estivo","summer","La piazza del centro storico prende vita durante il festival estivo.","The old town square comes to life during the summer festival.","it","en","","","summery, summerly"
"inchieste","investigations","Questo documento ebbe l'effetto di sopprimere le inchieste ufficiali sul fenomeno.","This had the effect of deleting the official investigations on the phenomenon.","it","en","","",""
"sotto casa","downstairs","Panificio sotto casa con ottime brioches e baguette buonissime e fragranti.","Bakery downstairs with excellent croissants and baguettes delicious and fragrant.","it","en","","","next door, outside the house"
"odioso","hateful","Ancora oggi, non riesco a pensare ad un simbolo più odioso.","Even today, I couldn't imagine a more hateful sign.","it","en","","",""
"detto ciò","said","Ma detto ciò, non ho problemi a gettar via la roba.","But that said, I have no trouble throwing things away.","it","en","","",""
"come non detto","never mind","Ora devo suonare la trombetta ""come non detto"".","Now I've got to use the ""never mind"" horn.","it","en","","",""
"superare la paura di","overcome the fear of","Per acquisire sicurezza e superare la paura di parlare in pubblico.","WHY? To gain confidence and overcome the fear of public speaking.","it","en","","",""
"fornello","stove","Lo chef istruì il suo apprendista ad accendere il fornello per cucinare.","The chef instructed his apprentice to light the stove for cooking.","it","en","","",""
"storcere il naso","turn up their noses","Può sembrare disgustoso, questo quadretto apparentemente sereno può far storcere il naso.","It may sound disgusting, this picture apparently peaceful can turn up their noses.","it","en","","","turn your nose, turn up our noses"
"non mi ha preso","didn't get me","Quell'uomo cattivo non mi ha preso.","The bad man didn't get me.","it","en","","","didn't catch, it didn't take"
"striscia","strip","La sarta tagliò una striscia sottile dalla pezza per le rifiniture.","The seamstress cut a thin strip from the bolt for trimming.","it","en","","",""
"ribaltare","turn","Ogni giocatore sa che una buona parata può ribaltare una partita.","Every player knows that a solid save can turn a game around.","it","en","","",""
"tuta","suit","La tuta dell'astronauta lo proteggeva dalle condizioni avverse dello spazio esterno.","The astronaut's suit protected him from the harsh conditions of outer space.","it","en","","",""
"che senso ha","what's the point","Eobard, che senso ha avere questi poteri se...","Eobard, what's the point of having these powers if...","it","en","","",""
"se lo dici tu","if you say so","Non credo sia necessario, ma se lo dici tu.","I don't think it's necessary, but if you say so.","it","en","","",""
"pastiglia","pill","Ha preso una pastiglia a mezzogiorno e ha continuato la sua giornata.","He popped a pill at noon and continued with his day.","it","en","","",""
"maniglia","handle","La maniglia si è bloccata saldamente nel cassetto e non si muove.","The handle lodged firmly in the drawer stuck, and won't budge.","it","en","","","doorknob, door handle"
"spuntare","tick","Alla fine, assicurati di spuntare le tue scelte per chiarezza.","At the end, make sure to tick your selections for clarity.","it","en","","","check, pop up"
"gonfiarsi","swell","Dopo aver vinto il premio, la sua fiducia cominciò a gonfiarsi d'orgoglio.","After winning the award, her confidence began to swell with pride.","it","en","","","inflate, bloat"
"starnutire","sneeze","Si è girato per starnutire, non volendo essere scortese.","He turned away to sneeze, not wanting to be rude.","it","en","","",""
"in compenso","on the other hand","Forse... ma in compenso ha la punta che taglia.","Maybe... but on the other hand it has the tip that cuts.","it","en","","","in return, in compensation"
"ciliegia","cherry","Il nocciolo della ciliegia viene spesso scartato mentre si gusta il frutto.","The pit of a cherry is often discarded while enjoying the fruit.","it","en","","","cerise, cherry red"
"vagone","car","I bambini indicavano entusiasti il paesaggio dai finestrini del vagone passeggeri.","Children excitedly pointed out the scenery from the windows of the passenger car.","it","en","","","wagon, carriage"
"profetizzare","prophesy","Durante l'eclissi, iniziò a profetizzare cambiamenti nell'ordine mondiale.","During the eclipse, she began to prophesy changes in the world order.","it","en","","","prophecy, predict"
